name,market,date,close,position,strategy_equity,bh_equity,strategy_daily_ret_pct,bh_daily_ret_pct
百济神州,A股,2025-07-01,242.16,空仓,10000.0,10000.0,0.0,0.0
百济神州,A股,2025-07-02,231.62,空仓,10000.0,9564.75,0.0,-4.3525
百济神州,A股,2025-07-03,232.89,空仓,10000.0,9617.2,0.0,0.5483
百济神州,A股,2025-07-04,229.64,空仓,10000.0,9482.99,0.0,-1.3955
百济神州,A股,2025-07-07,223.35,空仓,10000.0,9223.24,0.0,-2.7391
百济神州,A股,2025-07-08,223.15,空仓,10000.0,9214.98,0.0,-0.0895
百济神州,A股,2025-07-09,226.46,空仓,10000.0,9351.67,0.0,1.4833
百济神州,A股,2025-07-10,227.33,空仓,10000.0,9387.59,0.0,0.3842
百济神州,A股,2025-07-11,229.9,空仓,10000.0,9493.72,0.0,1.1305
百济神州,A股,2025-07-14,225.94,空仓,10000.0,9330.19,0.0,-1.7225
百济神州,A股,2025-07-15,241.3,空仓,10000.0,9964.49,0.0,6.7983
百济神州,A股,2025-07-16,239.94,空仓,10000.0,9908.33,0.0,-0.5636
百济神州,A股,2025-07-17,250.85,空仓,10000.0,10358.85,0.0,4.547
百济神州,A股,2025-07-18,249.76,空仓,10000.0,10313.84,0.0,-0.4345
百济神州,A股,2025-07-21,236.45,空仓,10000.0,9764.21,0.0,-5.3291
百济神州,A股,2025-07-22,236.72,空仓,10000.0,9775.36,0.0,0.1142
百济神州,A股,2025-07-23,238.13,空仓,10000.0,9833.58,0.0,0.5956
百济神州,A股,2025-07-24,237.68,空仓,10000.0,9815.0,0.0,-0.189
百济神州,A股,2025-07-25,234.87,空仓,10000.0,9698.96,0.0,-1.1823
百济神州,A股,2025-07-28,241.42,空仓,10000.0,9969.44,0.0,2.7888
百济神州,A股,2025-07-29,245.78,空仓,10000.0,10149.49,0.0,1.806
百济神州,A股,2025-07-30,242.0,空仓,10000.0,9993.39,0.0,-1.538
百济神州,A股,2025-07-31,238.24,空仓,10000.0,9838.12,0.0,-1.5537
百济神州,A股,2025-08-01,237.88,空仓,10000.0,9823.26,0.0,-0.1511
百济神州,A股,2025-08-04,243.51,空仓,10000.0,10055.75,0.0,2.3667
百济神州,A股,2025-08-05,249.46,空仓,10000.0,10301.45,0.0,2.4434
百济神州,A股,2025-08-06,245.54,空仓,10000.0,10139.58,0.0,-1.5714
百济神州,A股,2025-08-07,235.66,空仓,10000.0,9731.58,0.0,-4.0238
百济神州,A股,2025-08-08,224.63,空仓,10000.0,9276.1,0.0,-4.6805
百济神州,A股,2025-08-11,228.98,空仓,10000.0,9455.73,0.0,1.9365
百济神州,A股,2025-08-12,229.92,空仓,10000.0,9494.55,0.0,0.4105
百济神州,A股,2025-08-13,233.79,空仓,10000.0,9654.36,0.0,1.6832
百济神州,A股,2025-08-14,234.06,空仓,10000.0,9665.51,0.0,0.1155
百济神州,A股,2025-08-15,241.19,空仓,10000.0,9959.94,0.0,3.0462
百济神州,A股,2025-08-18,243.0,空仓,10000.0,10034.69,0.0,0.7504
百济神州,A股,2025-08-19,234.7,空仓,10000.0,9691.94,0.0,-3.4156
百济神州,A股,2025-08-20,237.5,持仓,10119.3,9807.57,1.193,1.193
百济神州,A股,2025-08-21,243.25,持仓,10364.29,10045.01,2.4211,2.4211
百济神州,A股,2025-08-22,247.25,持仓,10534.73,10210.19,1.6444,1.6444
百济神州,A股,2025-08-25,254.99,持仓,10864.51,10529.81,3.1304,3.1304
百济神州,A股,2025-08-26,250.51,持仓,10673.63,10344.81,-1.7569,-1.7569
百济神州,A股,2025-08-27,246.01,持仓,10481.89,10158.99,-1.7963,-1.7963
百济神州,A股,2025-08-28,247.0,持仓,10524.07,10199.87,0.4024,0.4024
百济神州,A股,2025-08-29,278.0,持仓,11844.91,11480.01,12.5506,12.5506
百济神州,A股,2025-09-01,300.0,持仓,12782.28,12388.5,7.9137,7.9137
百济神州,A股,2025-09-02,324.85,持仓,13841.07,13414.68,8.2833,8.2833
百济神州,A股,2025-09-03,326.08,持仓,13893.48,13465.48,0.3786,0.3786
百济神州,A股,2025-09-04,308.1,持仓,13127.4,12722.99,-5.514,-5.514
百济神州,A股,2025-09-05,319.8,持仓,13625.91,13206.14,3.7975,3.7975
百济神州,A股,2025-09-08,318.0,持仓,13549.21,13131.81,-0.5629,-0.5629
百济神州,A股,2025-09-09,323.2,持仓,13770.77,13346.55,1.6352,1.6352
百济神州,A股,2025-09-10,316.99,持仓,13506.18,13090.11,-1.9214,-1.9214
百济神州,A股,2025-09-11,305.18,持仓,13002.98,12602.41,-3.7257,-3.7257
百济神州,A股,2025-09-12,315.57,持仓,13445.68,13031.47,3.4045,3.4045
百济神州,A股,2025-09-15,320.0,持仓,13634.43,13214.4,1.4038,1.4038
百济神州,A股,2025-09-16,316.59,持仓,13489.14,13073.59,-1.0656,-1.0656
百济神州,A股,2025-09-17,313.33,持仓,13350.23,12938.97,-1.0297,-1.0297
百济神州,A股,2025-09-18,314.95,持仓,13419.26,13005.86,0.517,0.517
百济神州,A股,2025-09-19,310.2,空仓,13419.26,12809.71,0.0,-1.5082
百济神州,A股,2025-09-22,314.89,空仓,13419.26,13003.39,0.0,1.5119
百济神州,A股,2025-09-23,303.55,空仓,13419.26,12535.1,0.0,-3.6013
百济神州,A股,2025-09-24,309.68,空仓,13419.26,12788.24,0.0,2.0194
百济神州,A股,2025-09-25,315.67,空仓,13419.26,13035.6,0.0,1.9343
百济神州,A股,2025-09-26,301.85,空仓,13419.26,12464.9,0.0,-4.378
百济神州,A股,2025-09-29,301.02,空仓,13419.26,12430.62,0.0,-0.275
百济神州,A股,2025-09-30,306.9,空仓,13419.26,12673.44,0.0,1.9534
百济神州,A股,2025-10-09,304.48,空仓,13419.26,12573.51,0.0,-0.7885
百济神州,A股,2025-10-10,285.59,空仓,13419.26,11793.44,0.0,-6.204
百济神州,A股,2025-10-13,284.15,空仓,13419.26,11733.98,0.0,-0.5042
百济神州,A股,2025-10-14,273.71,空仓,13419.26,11302.86,0.0,-3.6741
百济神州,A股,2025-10-15,281.63,空仓,13419.26,11629.91,0.0,2.8936
百济神州,A股,2025-10-16,285.68,空仓,13419.26,11797.16,0.0,1.4381
百济神州,A股,2025-10-17,273.67,空仓,13419.26,11301.21,0.0,-4.204
百济神州,A股,2025-10-20,274.55,空仓,13419.26,11337.55,0.0,0.3216
百济神州,A股,2025-10-21,282.56,空仓,13419.26,11668.32,0.0,2.9175
百济神州,A股,2025-10-22,281.95,空仓,13419.26,11643.13,0.0,-0.2159
百济神州,A股,2025-10-23,276.35,空仓,13419.26,11411.88,0.0,-1.9862
百济神州,A股,2025-10-24,279.8,空仓,13419.26,11554.34,0.0,1.2484
百济神州,A股,2025-10-27,288.21,空仓,13419.26,11901.64,0.0,3.0057
百济神州,A股,2025-10-28,285.0,空仓,13419.26,11769.08,0.0,-1.1138
百济神州,A股,2025-10-29,289.19,持仓,13616.55,11942.1,1.4702,1.4702
