name,market,date,open,high,low,close,volume,amount,currency
百济神州,美股,2025-07-01,244.1,246.51,240.3,245.16,347450.0,84784074.0,USD
百济神州,美股,2025-07-02,239.25,244.65,239.25,244.32,353158.0,85884394.0,USD
百济神州,美股,2025-07-03,245.0,247.52,243.71,245.49,172489.0,42398914.0,USD
百济神州,美股,2025-07-07,243.38,244.4,240.0,240.99,320922.0,77452332.0,USD
百济神州,美股,2025-07-08,241.45,246.39,241.45,244.47,265678.0,64925571.0,USD
百济神州,美股,2025-07-09,249.99,256.0,249.28,255.69,361073.0,91720355.0,USD
百济神州,美股,2025-07-10,253.42,255.26,250.71,253.39,206822.0,52301683.0,USD
百济神州,美股,2025-07-11,251.01,252.37,249.0,250.3,371565.0,93063034.0,USD
百济神州,美股,2025-07-14,250.0,253.96,249.12,252.14,106006.0,26712147.0,USD
百济神州,美股,2025-07-15,269.3,270.0,263.84,269.7,674447.0,180508286.0,USD
百济神州,美股,2025-07-16,272.99,279.88,272.22,279.16,489268.0,136015176.0,USD
百济神州,美股,2025-07-17,297.0,298.0,287.33,290.35,804929.0,234468219.0,USD
百济神州,美股,2025-07-18,297.5,300.0,293.51,294.55,893526.0,264743399.0,USD
百济神州,美股,2025-07-21,288.94,292.34,287.41,291.93,320048.0,93036877.0,USD
百济神州,美股,2025-07-22,291.8,295.94,289.11,295.59,266754.0,78510207.0,USD
百济神州,美股,2025-07-23,296.0,299.7,293.92,294.83,397065.0,117569335.0,USD
百济神州,美股,2025-07-24,293.24,297.0,292.5,296.46,238413.0,70496493.0,USD
百济神州,美股,2025-07-25,289.73,293.17,287.0,291.47,171226.0,49897828.0,USD
百济神州,美股,2025-07-28,299.0,299.9,294.39,294.51,404449.0,120086797.0,USD
百济神州,美股,2025-07-29,304.33,308.87,299.44,305.74,789288.0,240576950.0,USD
百济神州,美股,2025-07-30,302.89,306.58,298.46,299.94,473038.0,142773825.0,USD
百济神州,美股,2025-07-31,296.5,303.6,296.18,301.13,503014.0,151409971.0,USD
百济神州,美股,2025-08-01,288.61,299.29,288.07,299.01,543061.0,160936988.0,USD
百济神州,美股,2025-08-04,299.05,305.23,298.7,304.3,348665.0,105640537.0,USD
百济神州,美股,2025-08-05,305.3,310.49,303.28,307.23,521973.0,160900467.0,USD
百济神州,美股,2025-08-06,312.18,313.29,287.0,298.52,529508.0,157024903.0,USD
百济神州,美股,2025-08-07,297.21,298.3,293.9,298.29,406111.0,120353654.0,USD
百济神州,美股,2025-08-08,281.34,290.68,280.11,288.18,423056.0,121526166.0,USD
百济神州,美股,2025-08-11,288.18,290.0,286.57,289.75,394876.0,113861660.0,USD
百济神州,美股,2025-08-12,285.5,289.75,283.05,288.1,312398.0,89940500.0,USD
百济神州,美股,2025-08-13,298.49,307.51,295.68,307.51,461638.0,139792493.0,USD
百济神州,美股,2025-08-14,303.01,309.74,300.0,309.69,326157.0,100073650.0,USD
百济神州,美股,2025-08-15,313.0,321.69,312.56,321.36,448937.0,142840642.0,USD
百济神州,美股,2025-08-18,321.36,330.63,318.69,319.32,595230.0,192918088.0,USD
百济神州,美股,2025-08-19,313.91,318.64,311.77,312.51,196852.0,61828240.0,USD
百济神州,美股,2025-08-20,307.0,310.61,301.33,309.33,248354.0,76748087.0,USD
百济神州,美股,2025-08-21,310.16,315.0,309.57,313.97,159519.0,49868218.0,USD
百济神州,美股,2025-08-22,312.08,317.0,312.08,313.67,156851.0,49276044.0,USD
百济神州,美股,2025-08-25,319.4,320.0,307.6,308.63,163237.0,51176627.0,USD
百济神州,美股,2025-08-26,308.84,309.68,306.35,308.91,120362.0,37096196.0,USD
百济神州,美股,2025-08-27,298.96,301.29,296.6,300.14,197852.0,59229461.0,USD
百济神州,美股,2025-08-28,295.86,302.4,295.22,297.96,200894.0,60170032.0,USD
百济神州,美股,2025-08-29,310.72,314.9,306.05,306.05,360221.0,111239021.0,USD
百济神州,美股,2025-09-02,330.0,335.94,324.02,332.04,766232.0,253329516.0,USD
百济神州,美股,2025-09-03,335.8,339.86,335.66,336.26,556502.0,187676653.0,USD
百济神州,美股,2025-09-04,323.49,325.07,316.79,318.73,306638.0,98162511.0,USD
百济神州,美股,2025-09-05,338.49,341.99,335.75,341.8,357691.0,121374695.0,USD
百济神州,美股,2025-09-08,340.32,347.17,338.0,346.45,399928.0,137547765.0,USD
百济神州,美股,2025-09-09,348.66,351.27,347.0,351.13,349055.0,121903720.0,USD
百济神州,美股,2025-09-10,324.49,330.35,312.28,313.93,1021845.0,327718520.0,USD
百济神州,美股,2025-09-11,324.51,336.8,324.51,335.67,429396.0,143300972.0,USD
百济神州,美股,2025-09-12,331.66,333.03,324.03,324.34,274662.0,89770694.0,USD
百济神州,美股,2025-09-15,332.94,334.03,330.0,332.27,356024.0,118155060.0,USD
百济神州,美股,2025-09-16,327.78,327.78,323.69,327.2,316617.0,103191462.0,USD
百济神州,美股,2025-09-17,330.0,334.1,330.0,332.2,157833.0,52458959.0,USD
百济神州,美股,2025-09-18,335.0,343.28,335.0,342.89,229881.0,78208247.0,USD
百济神州,美股,2025-09-19,335.0,339.25,332.39,334.4,241905.0,81053678.0,USD
百济神州,美股,2025-09-22,337.49,339.67,334.4,337.82,112387.0,37979240.0,USD
百济神州,美股,2025-09-23,329.5,332.17,326.69,329.07,169975.0,56064777.0,USD
百济神州,美股,2025-09-24,327.98,331.15,327.4,329.84,134858.0,44460220.0,USD
百济神州,美股,2025-09-25,330.14,332.74,325.43,328.71,252336.0,82752573.0,USD
百济神州,美股,2025-09-26,326.05,330.0,321.84,326.06,198187.0,64447916.0,USD
百济神州,美股,2025-09-29,327.4,333.03,327.21,332.83,162541.0,53771585.0,USD
百济神州,美股,2025-09-30,337.05,342.26,335.57,340.7,273720.0,92957432.0,USD
百济神州,美股,2025-10-01,340.73,346.58,334.61,335.16,279259.0,95126624.0,USD
百济神州,美股,2025-10-02,349.0,355.3,344.44,345.17,424755.0,147980922.0,USD
百济神州,美股,2025-10-03,339.11,347.09,334.53,343.87,163179.0,55692355.0,USD
百济神州,美股,2025-10-06,344.98,346.0,340.88,344.53,168706.0,57919277.0,USD
百济神州,美股,2025-10-07,345.0,346.41,341.43,341.62,150224.0,51604515.0,USD
百济神州,美股,2025-10-08,347.82,353.0,346.99,351.09,155837.0,54663989.0,USD
