name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
信达生物,港股,2025-07-02,80.0,82.35,78.0,79.3,29389722.0,2360059371.51,HKD,,,
信达生物,港股,2025-07-03,79.0,86.55,78.6,84.6,29257550.0,2455448644.1,HKD,,,
信达生物,港股,2025-07-04,85.0,87.8,83.35,86.2,21770018.0,1861692149.4,HKD,,,
信达生物,港股,2025-07-07,87.8,88.55,81.9,82.55,23823699.0,1994135592.2,HKD,,,
信达生物,港股,2025-07-08,83.05,85.2,81.05,82.35,17584187.0,1452428023.352,HKD,83.0,,
信达生物,港股,2025-07-09,81.75,83.9,80.25,82.25,17089853.0,1403650217.85,HKD,83.59,,
信达生物,港股,2025-07-10,81.7,83.45,79.4,80.25,17467848.0,1406661242.4,HKD,82.72,,
信达生物,港股,2025-07-11,80.8,83.45,80.0,80.55,17696166.0,1439628795.55,HKD,81.59,,
信达生物,港股,2025-07-14,80.55,82.35,79.5,82.0,17319035.0,1398862800.65,HKD,81.48,,
信达生物,港股,2025-07-15,82.5,86.4,81.55,85.9,20341034.0,1717479010.2,HKD,82.19,,
信达生物,港股,2025-07-16,86.2,87.05,84.95,86.2,13874379.0,1193449736.33,HKD,82.98,,
信达生物,港股,2025-07-17,86.95,90.25,86.55,89.1,25428845.0,2259843157.3,HKD,84.75,,
信达生物,港股,2025-07-18,89.85,91.7,87.75,89.05,15552338.0,1389583659.6,HKD,86.45,,
信达生物,港股,2025-07-21,90.0,91.15,87.25,88.65,10483351.0,931696025.85,HKD,87.78,,
信达生物,港股,2025-07-22,88.65,92.0,86.55,87.6,17778049.0,1586737677.1,HKD,88.12,84.4367,
信达生物,港股,2025-07-23,88.7,91.3,86.8,88.0,20305570.0,1793443350.3,HKD,88.48,85.0167,
信达生物,港股,2025-07-24,88.0,88.55,84.7,88.2,20662213.0,1799738604.5,HKD,88.3,85.2567,
信达生物,港股,2025-07-25,88.2,91.7,87.9,89.15,19114615.0,1711203385.35,HKD,88.32,85.4533,
信达生物,港股,2025-07-28,89.9,94.35,89.1,93.9,17709916.0,1631594520.85,HKD,89.37,86.21,
信达生物,港股,2025-07-29,95.0,100.0,93.05,99.95,27139490.0,2642701255.971,HKD,91.84,87.3833,
信达生物,港股,2025-07-30,100.3,106.0,95.85,98.45,53711910.0,5405112177.9,HKD,93.93,88.4633,
信达生物,港股,2025-07-31,99.0,100.8,96.4,98.0,21002134.0,2065365718.85,HKD,95.89,89.6467,
信达生物,港股,2025-08-01,97.0,99.6,91.8,93.0,24052833.0,2278466554.9,HKD,96.66,90.4767,
信达生物,港股,2025-08-04,92.45,94.45,90.2,92.9,15855227.0,1465489251.6,HKD,96.46,91.2033,
信达生物,港股,2025-08-05,94.9,99.1,94.15,98.75,17692363.0,1721802214.35,HKD,96.22,92.06,
信达生物,港股,2025-08-06,98.85,99.4,96.1,98.05,13318611.0,1302365084.95,HKD,96.14,92.85,
信达生物,港股,2025-08-07,96.85,98.8,90.55,91.4,32235490.0,2998470369.65,HKD,94.82,93.0033,
信达生物,港股,2025-08-08,91.4,93.2,89.6,91.25,18274901.0,1661968258.9,HKD,94.47,93.15,
信达生物,港股,2025-08-11,93.0,93.55,85.65,89.95,30762712.0,2718154680.8,HKD,93.88,93.2367,
信达生物,港股,2025-08-12,90.55,90.55,85.5,87.3,25300254.0,2201814712.21,HKD,91.59,93.2167,死叉
信达生物,港股,2025-08-13,89.05,96.0,88.55,95.0,26739588.0,2482476745.642,HKD,90.98,93.6833,
信达生物,港股,2025-08-14,97.15,98.35,95.3,96.0,16527182.0,1599704617.25,HKD,91.9,94.2033,
信达生物,港股,2025-08-15,95.8,99.5,95.5,97.5,13549158.0,1322085853.0,HKD,93.15,94.76,
信达生物,港股,2025-08-18,99.0,103.5,98.5,101.9,20740825.0,2101299378.32,HKD,95.54,95.2933,金叉
信达生物,港股,2025-08-19,101.9,102.9,96.0,97.75,24023054.0,2367112063.6,HKD,97.63,95.1467,
信达生物,港股,2025-08-20,97.0,98.85,93.1,94.65,17538128.0,1668324675.1,HKD,97.56,94.8933,
信达生物,港股,2025-08-21,96.25,99.65,95.2,99.3,10889562.0,1063672821.0,HKD,98.22,94.98,
信达生物,港股,2025-08-22,101.5,102.4,97.7,99.45,11623171.0,1151807768.9,HKD,98.61,95.41,
信达生物,港股,2025-08-25,101.3,102.8,96.8,99.95,14911542.0,1482687670.1,HKD,98.22,95.88,
信达生物,港股,2025-08-26,99.95,100.3,93.65,95.75,43626515.0,4177839284.54,HKD,97.82,95.68,
信达生物,港股,2025-08-27,99.1,99.1,90.05,91.0,30586612.0,2842657764.8,HKD,97.09,95.21,
信达生物,港股,2025-08-28,94.9,94.9,88.35,90.65,22635180.0,2061589948.8,HKD,95.36,95.16,
信达生物,港股,2025-08-29,91.9,98.45,89.7,96.85,26710648.0,2544292711.9,HKD,94.84,95.5333,死叉
信达生物,港股,2025-09-01,98.65,106.5,95.15,105.4,27986303.0,2868375738.6,HKD,95.93,96.5633,
信达生物,港股,2025-09-02,105.4,108.5,103.0,105.3,15122561.0,1597483225.1,HKD,97.84,97.7633,金叉
信达生物,港股,2025-09-03,107.0,109.0,103.7,107.0,13063627.0,1391172237.8,HKD,101.04,98.5633,
信达生物,港股,2025-09-04,109.1,109.1,99.0,100.1,20809884.0,2112100465.7,HKD,102.93,98.8367,
信达生物,港股,2025-09-05,100.1,104.2,98.5,103.1,19459787.0,1989873393.8,HKD,104.18,99.21,
信达生物,港股,2025-09-08,104.0,107.5,98.55,100.5,27413434.0,2781817885.15,HKD,103.2,99.1167,
信达生物,港股,2025-09-09,99.45,103.2,97.1,100.9,14814575.0,1490176678.2,HKD,102.32,99.3267,
信达生物,港股,2025-09-10,101.0,103.4,98.05,99.6,12256843.0,1219941388.15,HKD,100.84,99.6567,
信达生物,港股,2025-09-11,91.0,98.35,85.7,97.1,51240460.0,4826770138.15,HKD,100.24,99.51,
信达生物,港股,2025-09-12,99.5,100.5,96.3,97.85,13419082.0,1312890484.75,HKD,99.19,99.4033,死叉
信达生物,港股,2025-09-15,98.5,101.9,94.8,95.6,20045883.0,1937812527.0,HKD,98.21,99.1133,
信达生物,港股,2025-09-16,97.5,98.0,93.8,96.25,14137833.0,1343685190.4,HKD,97.28,99.1467,
信达生物,港股,2025-09-17,96.0,96.85,92.85,96.5,20913052.0,1980734465.15,HKD,96.66,99.5133,
信达生物,港股,2025-09-18,97.0,98.55,94.0,97.35,16918205.0,1627406144.6,HKD,96.71,99.96,
信达生物,港股,2025-09-19,97.5,98.3,90.0,92.05,34618371.0,3195453494.8,HKD,95.55,99.64,
信达生物,港股,2025-09-22,93.2,95.5,91.55,94.7,13572187.0,1277343690.9,HKD,95.37,98.9267,
信达生物,港股,2025-09-23,95.35,96.15,91.1,93.45,12486370.0,1162398498.72,HKD,94.81,98.1367,
信达生物,港股,2025-09-24,93.1,95.7,91.9,95.05,13606787.0,1285322617.8,HKD,94.52,97.34,
信达生物,港股,2025-09-25,96.0,96.75,94.0,95.05,10693475.0,1017772690.45,HKD,94.06,97.0033,
