name,market,date,close,position,strategy_equity,bh_equity,strategy_daily_ret_pct,bh_daily_ret_pct
君实生物,港股,2025-07-02,21.5,空仓,10000.0,10000.0,0.0,0.0
君实生物,港股,2025-07-03,24.0,空仓,10000.0,11162.79,0.0,11.6279
君实生物,港股,2025-07-04,24.75,空仓,10000.0,11511.63,0.0,3.125
君实生物,港股,2025-07-07,23.9,空仓,10000.0,11116.28,0.0,-3.4343
君实生物,港股,2025-07-08,24.35,空仓,10000.0,11325.58,0.0,1.8828
君实生物,港股,2025-07-09,24.8,空仓,10000.0,11534.88,0.0,1.848
君实生物,港股,2025-07-10,23.55,空仓,10000.0,10953.49,0.0,-5.0403
君实生物,港股,2025-07-11,23.3,空仓,10000.0,10837.21,0.0,-1.0616
君实生物,港股,2025-07-14,23.4,空仓,10000.0,10883.72,0.0,0.4292
君实生物,港股,2025-07-15,24.1,空仓,10000.0,11209.3,0.0,2.9915
君实生物,港股,2025-07-16,24.7,空仓,10000.0,11488.37,0.0,2.4896
君实生物,港股,2025-07-17,25.1,空仓,10000.0,11674.42,0.0,1.6194
君实生物,港股,2025-07-18,25.2,空仓,10000.0,11720.93,0.0,0.3984
君实生物,港股,2025-07-21,25.1,空仓,10000.0,11674.42,0.0,-0.3968
君实生物,港股,2025-07-22,24.95,空仓,10000.0,11604.65,0.0,-0.5976
君实生物,港股,2025-07-23,24.25,空仓,10000.0,11279.07,0.0,-2.8056
君实生物,港股,2025-07-24,25.3,空仓,10000.0,11767.44,0.0,4.3299
君实生物,港股,2025-07-25,24.9,空仓,10000.0,11581.4,0.0,-1.581
君实生物,港股,2025-07-28,27.3,空仓,10000.0,12697.67,0.0,9.6386
君实生物,港股,2025-07-29,28.7,空仓,10000.0,13348.84,0.0,5.1282
君实生物,港股,2025-07-30,26.6,空仓,10000.0,12372.09,0.0,-7.3171
君实生物,港股,2025-07-31,25.5,空仓,10000.0,11860.47,0.0,-4.1353
君实生物,港股,2025-08-01,24.55,空仓,10000.0,11418.6,0.0,-3.7255
君实生物,港股,2025-08-04,24.06,空仓,10000.0,11190.7,0.0,-1.9959
君实生物,港股,2025-08-05,32.18,空仓,10000.0,14967.44,0.0,33.749
君实生物,港股,2025-08-06,28.76,空仓,10000.0,13376.74,0.0,-10.6277
君实生物,港股,2025-08-07,27.28,空仓,10000.0,12688.37,0.0,-5.146
君实生物,港股,2025-08-08,29.16,空仓,10000.0,13562.79,0.0,6.8915
君实生物,港股,2025-08-11,30.26,空仓,10000.0,14074.42,0.0,3.7723
君实生物,港股,2025-08-12,29.5,空仓,10000.0,13720.93,0.0,-2.5116
君实生物,港股,2025-08-13,30.74,空仓,10000.0,14297.67,0.0,4.2034
君实生物,港股,2025-08-14,32.44,空仓,10000.0,15088.37,0.0,5.5303
君实生物,港股,2025-08-15,32.0,空仓,10000.0,14883.72,0.0,-1.3564
君实生物,港股,2025-08-18,36.24,空仓,10000.0,16855.81,0.0,13.25
君实生物,港股,2025-08-19,34.92,空仓,10000.0,16241.86,0.0,-3.6424
君实生物,港股,2025-08-20,33.5,空仓,10000.0,15581.4,0.0,-4.0664
君实生物,港股,2025-08-21,34.32,空仓,10000.0,15962.79,0.0,2.4478
君实生物,港股,2025-08-22,34.22,空仓,10000.0,15916.28,0.0,-0.2914
君实生物,港股,2025-08-25,34.84,空仓,10000.0,16204.65,0.0,1.8118
君实生物,港股,2025-08-26,32.6,空仓,10000.0,15162.79,0.0,-6.4294
君实生物,港股,2025-08-27,30.54,空仓,10000.0,14204.65,0.0,-6.319
君实生物,港股,2025-08-28,29.8,空仓,10000.0,13860.47,0.0,-2.4231
君实生物,港股,2025-08-29,30.98,空仓,10000.0,14409.3,0.0,3.9597
君实生物,港股,2025-09-01,32.98,空仓,10000.0,15339.53,0.0,6.4558
君实生物,港股,2025-09-02,32.3,空仓,10000.0,15023.26,0.0,-2.0619
君实生物,港股,2025-09-03,32.54,空仓,10000.0,15134.88,0.0,0.743
君实生物,港股,2025-09-04,30.82,空仓,10000.0,14334.88,0.0,-5.2858
君实生物,港股,2025-09-05,34.5,空仓,10000.0,16046.51,0.0,11.9403
君实生物,港股,2025-09-08,35.4,持仓,10260.87,16465.12,2.6087,2.6087
君实生物,港股,2025-09-09,36.84,持仓,10678.26,17134.88,4.0678,4.0678
君实生物,港股,2025-09-10,34.92,持仓,10121.74,16241.86,-5.2117,-5.2117
君实生物,港股,2025-09-11,33.58,持仓,9733.33,15618.6,-3.8373,-3.8373
君实生物,港股,2025-09-12,33.74,持仓,9779.71,15693.02,0.4765,0.4765
君实生物,港股,2025-09-15,32.9,持仓,9536.23,15302.33,-2.4896,-2.4896
君实生物,港股,2025-09-16,33.22,持仓,9628.99,15451.16,0.9726,0.9726
君实生物,港股,2025-09-17,32.22,持仓,9339.13,14986.05,-3.0102,-3.0102
君实生物,港股,2025-09-18,32.76,空仓,9339.13,15237.21,0.0,1.676
君实生物,港股,2025-09-19,32.1,空仓,9339.13,14930.23,0.0,-2.0147
君实生物,港股,2025-09-22,30.6,空仓,9339.13,14232.56,0.0,-4.6729
君实生物,港股,2025-09-23,30.1,空仓,9339.13,14000.0,0.0,-1.634
君实生物,港股,2025-09-24,29.66,空仓,9339.13,13795.35,0.0,-1.4618
君实生物,港股,2025-09-25,30.92,空仓,9339.13,14381.4,0.0,4.2481
君实生物,港股,2025-09-26,29.82,空仓,9339.13,13869.77,0.0,-3.5576
君实生物,港股,2025-09-29,29.62,空仓,9339.13,13776.74,0.0,-0.6707
君实生物,港股,2025-09-30,30.46,空仓,9339.13,14167.44,0.0,2.8359
君实生物,港股,2025-10-02,32.62,空仓,9339.13,15172.09,0.0,7.0913
君实生物,港股,2025-10-03,31.76,空仓,9339.13,14772.09,0.0,-2.6364
君实生物,港股,2025-10-06,31.08,空仓,9339.13,14455.81,0.0,-2.1411
君实生物,港股,2025-10-08,31.6,持仓,9495.38,14697.67,1.6731,1.6731
君实生物,港股,2025-10-09,29.7,持仓,8924.46,13813.95,-6.0127,-6.0127
君实生物,港股,2025-10-10,29.58,空仓,8924.46,13758.14,0.0,-0.404
君实生物,港股,2025-10-13,27.02,空仓,8924.46,12567.44,0.0,-8.6545
君实生物,港股,2025-10-14,26.3,空仓,8924.46,12232.56,0.0,-2.6647
君实生物,港股,2025-10-15,26.16,空仓,8924.46,12167.44,0.0,-0.5323
君实生物,港股,2025-10-16,26.72,空仓,8924.46,12427.91,0.0,2.1407
君实生物,港股,2025-10-17,26.26,空仓,8924.46,12213.95,0.0,-1.7216
君实生物,港股,2025-10-20,26.66,空仓,8924.46,12400.0,0.0,1.5232
君实生物,港股,2025-10-21,26.78,空仓,8924.46,12455.81,0.0,0.4501
君实生物,港股,2025-10-22,26.36,空仓,8924.46,12260.47,0.0,-1.5683
君实生物,港股,2025-10-23,25.32,空仓,8924.46,11776.74,0.0,-3.9454
君实生物,港股,2025-10-24,25.06,空仓,8924.46,11655.81,0.0,-1.0269
君实生物,港股,2025-10-27,25.96,空仓,8924.46,12074.42,0.0,3.5914
君实生物,港股,2025-10-28,25.16,空仓,8924.46,11702.33,0.0,-3.0817
君实生物,港股,2025-10-30,25.06,空仓,8924.46,11655.81,0.0,-0.3975
君实生物,港股,2025-10-31,26.58,空仓,8924.46,12362.79,0.0,6.0654
君实生物,港股,2025-11-03,26.7,空仓,8924.46,12418.6,0.0,0.4515
君实生物,港股,2025-11-04,26.12,空仓,8924.46,12148.84,0.0,-2.1723
君实生物,港股,2025-11-05,25.8,持仓,8815.12,12000.0,-1.2251,-1.2251
君实生物,港股,2025-11-06,25.98,持仓,8876.62,12083.72,0.6977,0.6977
君实生物,港股,2025-11-07,24.52,空仓,8876.62,11404.65,0.0,-5.6197
君实生物,港股,2025-11-10,25.4,空仓,8876.62,11813.95,0.0,3.5889
君实生物,港股,2025-11-11,25.06,空仓,8876.62,11655.81,0.0,-1.3386
君实生物,港股,2025-11-12,25.5,空仓,8876.62,11860.47,0.0,1.7558
君实生物,港股,2025-11-13,26.3,空仓,8876.62,12232.56,0.0,3.1373
君实生物,港股,2025-11-14,25.84,空仓,8876.62,12018.6,0.0,-1.749
君实生物,港股,2025-11-17,24.74,空仓,8876.62,11506.98,0.0,-4.257
君实生物,港股,2025-11-18,24.42,空仓,8876.62,11358.14,0.0,-1.2935
君实生物,港股,2025-11-19,24.26,空仓,8876.62,11283.72,0.0,-0.6552
君实生物,港股,2025-11-20,24.56,空仓,8876.62,11423.26,0.0,1.2366
君实生物,港股,2025-11-21,23.46,空仓,8876.62,10911.63,0.0,-4.4788
君实生物,港股,2025-11-24,23.8,空仓,8876.62,11069.77,0.0,1.4493
君实生物,港股,2025-11-25,24.4,空仓,8876.62,11348.84,0.0,2.521
君实生物,港股,2025-11-26,25.18,空仓,8876.62,11711.63,0.0,3.1967
君实生物,港股,2025-11-27,25.44,空仓,8876.62,11832.56,0.0,1.0326
君实生物,港股,2025-11-28,25.32,空仓,8876.62,11776.74,0.0,-0.4717
君实生物,港股,2025-12-01,24.78,持仓,8687.31,11525.58,-2.1327,-2.1327
君实生物,港股,2025-12-02,24.02,持仓,8420.87,11172.09,-3.067,-3.067
君实生物,港股,2025-12-03,23.7,空仓,8420.87,11023.26,0.0,-1.3322
君实生物,港股,2025-12-04,23.96,空仓,8420.87,11144.19,0.0,1.097
君实生物,港股,2025-12-05,23.56,空仓,8420.87,10958.14,0.0,-1.6694
君实生物,港股,2025-12-08,23.76,空仓,8420.87,11051.16,0.0,0.8489
君实生物,港股,2025-12-09,23.54,空仓,8420.87,10948.84,0.0,-0.9259
君实生物,港股,2025-12-10,23.5,空仓,8420.87,10930.23,0.0,-0.1699
君实生物,港股,2025-12-11,23.5,空仓,8420.87,10930.23,0.0,0.0
君实生物,港股,2025-12-12,24.0,空仓,8420.87,11162.79,0.0,2.1277
君实生物,港股,2025-12-15,23.82,空仓,8420.87,11079.07,0.0,-0.75
君实生物,港股,2025-12-16,23.08,空仓,8420.87,10734.88,0.0,-3.1066
君实生物,港股,2025-12-17,22.98,空仓,8420.87,10688.37,0.0,-0.4333
君实生物,港股,2025-12-18,22.48,空仓,8420.87,10455.81,0.0,-2.1758
君实生物,港股,2025-12-19,23.24,空仓,8420.87,10809.3,0.0,3.3808
