name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
君实生物,港股,2025-07-02,21.6,22.55,21.1,21.5,10907170.0,,,,HOLD,空仓,
君实生物,港股,2025-07-03,21.8,24.1,21.35,24.0,16970400.0,,,,HOLD,空仓,
君实生物,港股,2025-07-04,24.2,26.5,24.2,24.75,23951246.0,,,,HOLD,空仓,
君实生物,港股,2025-07-07,25.15,26.15,23.55,23.9,12117000.0,,,,HOLD,空仓,
君实生物,港股,2025-07-08,24.2,25.35,23.65,24.35,9094600.0,23.7,,,HOLD,空仓,
君实生物,港股,2025-07-09,24.3,26.0,23.4,24.8,10386000.0,24.36,,,HOLD,空仓,
君实生物,港股,2025-07-10,25.45,25.45,23.5,23.55,7880800.0,24.27,,,HOLD,空仓,
君实生物,港股,2025-07-11,24.0,24.15,22.75,23.3,9986800.0,23.98,,,HOLD,空仓,
君实生物,港股,2025-07-14,23.3,23.85,22.45,23.4,8594000.0,23.88,,,HOLD,空仓,
君实生物,港股,2025-07-15,23.55,24.7,22.85,24.1,9967800.0,23.83,,,HOLD,空仓,
君实生物,港股,2025-07-16,24.35,25.2,23.85,24.7,8487800.0,23.81,,,HOLD,空仓,
君实生物,港股,2025-07-17,24.8,25.8,24.8,25.1,11479200.0,24.12,,,HOLD,空仓,
君实生物,港股,2025-07-18,25.75,25.95,24.7,25.2,7415600.0,24.5,,,HOLD,空仓,
君实生物,港股,2025-07-21,25.5,25.5,23.9,25.1,7312200.0,24.84,,,HOLD,空仓,
君实生物,港股,2025-07-22,25.3,27.5,24.8,24.95,12884000.0,25.01,24.18,,HOLD,空仓,
君实生物,港股,2025-07-23,25.4,25.55,24.0,24.25,9623630.0,24.92,24.3633,,HOLD,空仓,
君实生物,港股,2025-07-24,24.4,25.65,24.25,25.3,9252000.0,24.96,24.45,,HOLD,空仓,
君实生物,港股,2025-07-25,25.6,26.5,24.55,24.9,8731200.0,24.9,24.46,,HOLD,空仓,
君实生物,港股,2025-07-28,25.4,27.7,24.9,27.3,16334800.0,25.34,24.6867,,HOLD,空仓,
君实生物,港股,2025-07-29,27.4,28.75,26.6,28.7,14691600.0,26.09,24.9767,,HOLD,空仓,
君实生物,港股,2025-07-30,28.5,29.0,25.9,26.6,17084000.0,26.56,25.0967,,HOLD,空仓,
君实生物,港股,2025-07-31,26.4,26.95,25.15,25.5,12274800.0,26.6,25.2267,,HOLD,空仓,
君实生物,港股,2025-08-01,25.9,26.45,24.35,24.55,7150400.0,26.53,25.31,,HOLD,空仓,
君实生物,港股,2025-08-04,24.22,24.5,23.5,24.06,10929298.0,25.882,25.354,,HOLD,空仓,
君实生物,港股,2025-08-05,24.38,32.58,24.22,32.18,43950060.0,26.578,25.8927,,HOLD,空仓,
君实生物,港股,2025-08-06,29.52,31.8,28.32,28.76,38666166.0,27.01,26.1633,,HOLD,空仓,
君实生物,港股,2025-08-07,29.06,29.5,27.04,27.28,15204180.0,27.366,26.3087,,HOLD,空仓,
君实生物,港股,2025-08-08,27.78,30.84,26.7,29.16,30444698.0,28.288,26.5727,,HOLD,空仓,
君实生物,港股,2025-08-11,29.4,31.44,28.24,30.26,20576780.0,29.528,26.9167,,HOLD,空仓,
君实生物,港股,2025-08-12,30.2,31.98,28.58,29.5,14896800.0,28.992,27.22,,HOLD,空仓,
君实生物,港股,2025-08-13,29.98,31.72,29.58,30.74,16428600.0,29.388,27.6527,,HOLD,空仓,
君实生物,港股,2025-08-14,31.0,33.06,30.8,32.44,18859200.0,30.42,28.1287,,HOLD,空仓,
君实生物,港股,2025-08-15,31.48,32.6,30.86,32.0,14422730.0,30.988,28.602,,HOLD,空仓,
君实生物,港股,2025-08-18,32.46,37.86,32.46,36.24,27006000.0,32.184,29.198,,HOLD,空仓,
君实生物,港股,2025-08-19,36.5,37.64,34.12,34.92,19461600.0,33.268,29.6127,,HOLD,空仓,
君实生物,港股,2025-08-20,35.48,35.68,32.72,33.5,10460900.0,33.82,30.0727,,HOLD,空仓,
君实生物,港股,2025-08-21,33.9,35.26,33.2,34.32,8816400.0,34.196,30.6607,,HOLD,空仓,
君实生物,港股,2025-08-22,34.58,35.14,34.0,34.22,7136300.0,34.64,31.3053,,HOLD,空仓,
君实生物,港股,2025-08-25,34.68,35.88,34.04,34.84,10214200.0,34.36,32.024,,HOLD,空仓,
君实生物,港股,2025-08-26,34.58,35.5,32.0,32.6,11051200.0,33.896,32.052,,HOLD,空仓,
君实生物,港股,2025-08-27,34.5,34.5,30.3,30.54,13328495.0,33.304,32.1707,,HOLD,空仓,
君实生物,港股,2025-08-28,31.04,31.34,28.72,29.8,14125147.0,32.4,32.3387,,HOLD,空仓,
君实生物,港股,2025-08-29,29.92,31.8,29.72,30.98,9893974.0,31.752,32.46,死叉,HOLD,空仓,
君实生物,港股,2025-09-01,31.42,33.34,31.4,32.98,10834800.0,31.38,32.6413,,HOLD,空仓,
君实生物,港股,2025-09-02,32.98,33.46,31.32,32.3,9028700.0,31.32,32.828,,HOLD,空仓,
君实生物,港股,2025-09-03,33.0,33.8,32.32,32.54,7207800.0,31.72,32.948,,HOLD,空仓,
君实生物,港股,2025-09-04,33.6,33.6,30.72,30.82,7602400.0,31.924,32.84,,HOLD,空仓,
君实生物,港股,2025-09-05,31.36,35.1,30.68,34.5,19245000.0,32.628,33.0067,,HOLD,空仓,
君实生物,港股,2025-09-08,34.98,35.84,34.08,35.4,10749400.0,33.112,32.9507,金叉,BUY,持仓,→ 次日(2025-09-09)开盘买入 @ 35.18
君实生物,港股,2025-09-09,35.18,38.64,34.08,36.84,17509600.0,34.02,33.0787,,HOLD,持仓,
君实生物,港股,2025-09-10,37.44,37.96,34.4,34.92,13426200.0,34.496,33.1733,,HOLD,持仓,
君实生物,港股,2025-09-11,32.38,34.5,31.0,33.58,19391200.0,35.048,33.124,,HOLD,持仓,
君实生物,港股,2025-09-12,34.82,34.82,32.82,33.74,11440600.0,34.896,33.092,,HOLD,持仓,
君实生物,港股,2025-09-15,34.0,34.16,32.68,32.9,7489600.0,34.396,32.9627,,HOLD,持仓,
君实生物,港股,2025-09-16,33.5,33.78,32.14,33.22,6743600.0,33.672,33.004,,HOLD,持仓,
君实生物,港股,2025-09-17,33.36,33.58,31.88,32.22,8764800.0,33.132,33.116,,HOLD,持仓,
君实生物,港股,2025-09-18,32.6,33.88,31.82,32.76,11563448.0,32.968,33.3133,死叉,SELL,空仓,→ 次日(2025-09-19)开盘卖出 @ 33.06 (盈亏: -6.03%)
君实生物,港股,2025-09-19,33.06,33.38,31.2,32.1,8191952.0,32.64,33.388,,HOLD,空仓,
君实生物,港股,2025-09-22,32.14,32.28,30.34,30.6,11626000.0,32.18,33.2293,,HOLD,空仓,
君实生物,港股,2025-09-23,31.0,31.06,29.16,30.1,10984044.0,31.556,33.0827,,HOLD,空仓,
君实生物,港股,2025-09-24,30.1,30.6,29.2,29.66,6987604.0,31.044,32.8907,,HOLD,空仓,
