name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
百济神州,美股,2025-07-01,244.1,246.51,240.3,245.16,347450.0,,,,HOLD,空仓,
百济神州,美股,2025-07-02,239.25,244.65,239.25,244.32,353158.0,,,,HOLD,空仓,
百济神州,美股,2025-07-03,245.0,247.52,243.71,245.49,172489.0,,,,HOLD,空仓,
百济神州,美股,2025-07-07,243.38,244.4,240.0,240.99,320922.0,,,,HOLD,空仓,
百济神州,美股,2025-07-08,241.45,246.39,241.45,244.47,265678.0,244.086,,,HOLD,空仓,
百济神州,美股,2025-07-09,249.99,256.0,249.28,255.69,361073.0,246.192,,,HOLD,空仓,
百济神州,美股,2025-07-10,253.42,255.26,250.71,253.39,206822.0,248.006,,,HOLD,空仓,
百济神州,美股,2025-07-11,251.01,252.37,249.0,250.3,371565.0,248.968,,,HOLD,空仓,
百济神州,美股,2025-07-14,250.0,253.96,249.12,252.14,106006.0,251.198,,,HOLD,空仓,
百济神州,美股,2025-07-15,269.3,270.0,263.84,269.7,674447.0,256.244,,,HOLD,空仓,
百济神州,美股,2025-07-16,272.99,279.88,272.22,279.16,489268.0,260.938,,,HOLD,空仓,
百济神州,美股,2025-07-17,297.0,298.0,287.33,290.35,804929.0,268.33,,,HOLD,空仓,
百济神州,美股,2025-07-18,297.5,300.0,293.51,294.55,893526.0,277.18,,,HOLD,空仓,
百济神州,美股,2025-07-21,288.94,292.34,287.41,291.93,320048.0,285.138,,,HOLD,空仓,
百济神州,美股,2025-07-22,291.8,295.94,289.11,295.59,266754.0,290.316,263.5487,,HOLD,空仓,
百济神州,美股,2025-07-23,296.0,299.7,293.92,294.83,397065.0,293.45,266.86,,HOLD,空仓,
百济神州,美股,2025-07-24,293.24,297.0,292.5,296.46,238413.0,294.672,270.336,,HOLD,空仓,
百济神州,美股,2025-07-25,289.73,293.17,287.0,291.47,171226.0,294.056,273.4013,,HOLD,空仓,
百济神州,美股,2025-07-28,299.0,299.9,294.39,294.51,404449.0,294.572,276.9693,,HOLD,空仓,
百济神州,美股,2025-07-29,304.33,308.87,299.44,305.74,789288.0,296.602,281.054,,HOLD,空仓,
百济神州,美股,2025-07-30,302.89,306.58,298.46,299.94,473038.0,297.624,284.004,,HOLD,空仓,
百济神州,美股,2025-07-31,296.5,303.6,296.18,301.13,503014.0,298.558,287.1867,,HOLD,空仓,
百济神州,美股,2025-08-01,288.61,299.29,288.07,299.01,543061.0,300.066,290.434,,HOLD,空仓,
百济神州,美股,2025-08-04,299.05,305.23,298.7,304.3,348665.0,302.024,293.9113,,HOLD,空仓,
百济神州,美股,2025-08-05,305.3,310.49,303.28,307.23,521973.0,302.322,296.4133,,HOLD,空仓,
百济神州,美股,2025-08-06,312.18,313.29,287.0,298.52,529508.0,302.038,297.704,,HOLD,空仓,
百济神州,美股,2025-08-07,297.21,298.3,293.9,298.29,406111.0,301.47,298.2333,,HOLD,空仓,
百济神州,美股,2025-08-08,281.34,290.68,280.11,288.18,423056.0,299.304,297.8087,,HOLD,空仓,
百济神州,美股,2025-08-11,288.18,290.0,286.57,289.75,394876.0,296.394,297.6633,死叉,HOLD,空仓,
百济神州,美股,2025-08-12,285.5,289.75,283.05,288.1,312398.0,292.568,297.164,,HOLD,空仓,
百济神州,美股,2025-08-13,298.49,307.51,295.68,307.51,461638.0,294.366,298.0093,,HOLD,空仓,
百济神州,美股,2025-08-14,303.01,309.74,300.0,309.69,326157.0,296.646,298.8913,,HOLD,空仓,
百济神州,美股,2025-08-15,313.0,321.69,312.56,321.36,448937.0,303.282,300.884,金叉,BUY,持仓,→ 次日(2025-08-18)开盘买入 @ 321.36
百济神州,美股,2025-08-18,321.36,330.63,318.69,319.32,595230.0,309.196,302.538,,HOLD,持仓,
百济神州,美股,2025-08-19,313.91,318.64,311.77,312.51,196852.0,314.078,302.9893,,HOLD,持仓,
百济神州,美股,2025-08-20,307.0,310.61,301.33,309.33,248354.0,314.442,303.6153,,HOLD,持仓,
百济神州,美股,2025-08-21,310.16,315.0,309.57,313.97,159519.0,315.298,304.4713,,HOLD,持仓,
百济神州,美股,2025-08-22,312.08,317.0,312.08,313.67,156851.0,313.76,305.4487,,HOLD,持仓,
百济神州,美股,2025-08-25,319.4,320.0,307.6,308.63,163237.0,311.622,305.7373,,HOLD,持仓,
百济神州,美股,2025-08-26,308.84,309.68,306.35,308.91,120362.0,310.902,305.8493,,HOLD,持仓,
百济神州,美股,2025-08-27,298.96,301.29,296.6,300.14,197852.0,309.064,305.9573,,HOLD,持仓,
百济神州,美股,2025-08-28,295.86,302.4,295.22,297.96,200894.0,305.862,305.9353,死叉,SELL,空仓,→ 次日(2025-08-29)开盘卖出 @ 310.72 (盈亏: -3.31%)
百济神州,美股,2025-08-29,310.72,314.9,306.05,306.05,360221.0,304.338,307.1267,,HOLD,空仓,
百济神州,美股,2025-09-02,330.0,335.94,324.02,332.04,766232.0,309.02,309.946,,HOLD,空仓,
百济神州,美股,2025-09-03,335.8,339.86,335.66,336.26,556502.0,314.49,313.1567,金叉,BUY,持仓,→ 次日(2025-09-04)开盘买入 @ 323.49
百济神州,美股,2025-09-04,323.49,325.07,316.79,318.73,306638.0,318.208,313.9047,,HOLD,持仓,
百济神州,美股,2025-09-05,338.49,341.99,335.75,341.8,357691.0,326.976,316.0453,,HOLD,持仓,
