name,market,date,close,position,strategy_equity,bh_equity,strategy_daily_ret_pct,bh_daily_ret_pct
信达生物,港股,2025-07-02,79.3,空仓,10000.0,10000.0,0.0,0.0
信达生物,港股,2025-07-03,84.6,空仓,10000.0,10668.35,0.0,6.6835
信达生物,港股,2025-07-04,86.2,空仓,10000.0,10870.11,0.0,1.8913
信达生物,港股,2025-07-07,82.55,空仓,10000.0,10409.84,0.0,-4.2343
信达生物,港股,2025-07-08,82.35,空仓,10000.0,10384.62,0.0,-0.2423
信达生物,港股,2025-07-09,82.25,空仓,10000.0,10372.01,0.0,-0.1214
信达生物,港股,2025-07-10,80.25,空仓,10000.0,10119.8,0.0,-2.4316
信达生物,港股,2025-07-11,80.55,空仓,10000.0,10157.63,0.0,0.3738
信达生物,港股,2025-07-14,82.0,空仓,10000.0,10340.48,0.0,1.8001
信达生物,港股,2025-07-15,85.9,空仓,10000.0,10832.28,0.0,4.7561
信达生物,港股,2025-07-16,86.2,空仓,10000.0,10870.11,0.0,0.3492
信达生物,港股,2025-07-17,89.1,空仓,10000.0,11235.81,0.0,3.3643
信达生物,港股,2025-07-18,89.05,空仓,10000.0,11229.51,0.0,-0.0561
信达生物,港股,2025-07-21,88.65,空仓,10000.0,11179.07,0.0,-0.4492
信达生物,港股,2025-07-22,87.6,空仓,10000.0,11046.66,0.0,-1.1844
信达生物,港股,2025-07-23,88.0,空仓,10000.0,11097.1,0.0,0.4566
信达生物,港股,2025-07-24,88.2,空仓,10000.0,11122.32,0.0,0.2273
信达生物,港股,2025-07-25,89.15,空仓,10000.0,11242.12,0.0,1.0771
信达生物,港股,2025-07-28,93.9,空仓,10000.0,11841.11,0.0,5.3281
信达生物,港股,2025-07-29,99.95,空仓,10000.0,12604.04,0.0,6.443
信达生物,港股,2025-07-30,98.45,空仓,10000.0,12414.88,0.0,-1.5008
信达生物,港股,2025-07-31,98.0,空仓,10000.0,12358.13,0.0,-0.4571
信达生物,港股,2025-08-01,93.0,空仓,10000.0,11727.62,0.0,-5.102
信达生物,港股,2025-08-04,92.9,空仓,10000.0,11715.01,0.0,-0.1075
信达生物,港股,2025-08-05,98.75,空仓,10000.0,12452.71,0.0,6.2971
信达生物,港股,2025-08-06,98.05,空仓,10000.0,12364.44,0.0,-0.7089
信达生物,港股,2025-08-07,91.4,空仓,10000.0,11525.85,0.0,-6.7823
信达生物,港股,2025-08-08,91.25,空仓,10000.0,11506.94,0.0,-0.1641
信达生物,港股,2025-08-11,89.95,空仓,10000.0,11343.0,0.0,-1.4247
信达生物,港股,2025-08-12,87.3,空仓,10000.0,11008.83,0.0,-2.9461
信达生物,港股,2025-08-13,95.0,空仓,10000.0,11979.82,0.0,8.8202
信达生物,港股,2025-08-14,96.0,空仓,10000.0,12105.93,0.0,1.0526
信达生物,港股,2025-08-15,97.5,空仓,10000.0,12295.08,0.0,1.5625
信达生物,港股,2025-08-18,101.9,持仓,10451.28,12849.94,4.5128,4.5128
信达生物,港股,2025-08-19,97.75,持仓,10025.64,12326.61,-4.0726,-4.0726
信达生物,港股,2025-08-20,94.65,持仓,9707.69,11935.69,-3.1714,-3.1714
信达生物,港股,2025-08-21,99.3,持仓,10184.62,12522.07,4.9128,4.9128
信达生物,港股,2025-08-22,99.45,持仓,10200.0,12540.98,0.1511,0.1511
信达生物,港股,2025-08-25,99.95,持仓,10251.28,12604.04,0.5028,0.5028
信达生物,港股,2025-08-26,95.75,持仓,9820.51,12074.4,-4.2021,-4.2021
信达生物,港股,2025-08-27,91.0,持仓,9333.33,11475.41,-4.9608,-4.9608
信达生物,港股,2025-08-28,90.65,持仓,9297.44,11431.27,-0.3846,-0.3846
信达生物,港股,2025-08-29,96.85,空仓,9297.44,12213.11,0.0,6.8395
信达生物,港股,2025-09-01,105.4,空仓,9297.44,13291.3,0.0,8.8281
信达生物,港股,2025-09-02,105.3,持仓,9288.61,13278.69,-0.0949,-0.0949
信达生物,港股,2025-09-03,107.0,持仓,9438.57,13493.06,1.6144,1.6144
信达生物,港股,2025-09-04,100.1,持仓,8829.92,12622.95,-6.4486,-6.4486
信达生物,港股,2025-09-05,103.1,持仓,9094.55,13001.26,2.997,2.997
信达生物,港股,2025-09-08,100.5,持仓,8865.2,12673.39,-2.5218,-2.5218
信达生物,港股,2025-09-09,100.9,持仓,8900.49,12723.83,0.398,0.398
信达生物,港股,2025-09-10,99.6,持仓,8785.81,12559.9,-1.2884,-1.2884
信达生物,港股,2025-09-11,97.1,持仓,8565.28,12244.64,-2.51,-2.51
信达生物,港股,2025-09-12,97.85,空仓,8565.28,12339.22,0.0,0.7724
信达生物,港股,2025-09-15,95.6,空仓,8565.28,12055.49,0.0,-2.2994
信达生物,港股,2025-09-16,96.25,空仓,8565.28,12137.45,0.0,0.6799
信达生物,港股,2025-09-17,96.5,空仓,8565.28,12168.98,0.0,0.2597
信达生物,港股,2025-09-18,97.35,空仓,8565.28,12276.17,0.0,0.8808
信达生物,港股,2025-09-19,92.05,空仓,8565.28,11607.82,0.0,-5.4443
